iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ITA,Europe,Italy,9/28/2020,309870,1766,1673.429,35835,17,18.286,5125.052,29.209,27.677,592.688,0.281,0.302,0,0,0,0,0,0,0,0,0,0,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,0,3.18,83.51,0.88
JAM,North America,Jamaica,9/28/2020,5993,164,143.571,89,1,3.143,2023.868,55.384,48.485,30.056,0.338,1.061,0,0,0,0,0,0,0,0,0,0,2961161,266.879,31.4,9.684,6.39,8193.571,0,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
JEY,Europe,Jersey,9/28/2020,400,0,1,32,0,0,3957.536,0,9.894,316.603,0,0,0,0,0,0,0,0,0,0,0,0,101073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOR,Asia,Jordan,9/28/2020,8492,431,530.429,45,2,2.143,832.293,42.242,51.987,4.41,0.196,0.21,0,0,0,0,0,0,0,0,0,0,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,0,0,0,1.4,74.53,0.735
JPN,Asia,Japan,9/28/2020,82131,441,496.286,1548,3,6.857,649.378,3.487,3.924,12.239,0.024,0.054,0,0,0,0,0,0,0,0,0,0,126476458,347.778,48.2,27.049,18.493,39002.223,0,79.37,5.72,11.2,33.7,0,13.05,84.63,0.909
KAZ,Asia,Kazakhstan,9/28/2020,140265,90,258.571,2049,1,4.857,7470.16,4.793,13.771,109.125,0.053,0.259,0,0,0,0,0,0,0,0,0,0,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.8
KEN,Africa,Kenya,9/28/2020,38115,244,162,691,2,6.143,708.835,4.538,3.013,12.851,0.037,0.114,0,0,0,0,0,0,0,0,0,0,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
KGZ,Asia,Kyrgyzstan,9/28/2020,46355,104,126.286,1064,1,0.143,7105.095,15.941,19.357,163.085,0.153,0.022,0,0,0,0,0,0,0,0,0,0,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.672
KHM,Asia,Cambodia,9/28/2020,276,0,0.143,0,0,0,16.508,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,16718971,90.672,25.6,4.412,2.385,3645.07,0,270.892,4,2,33.7,66.229,0.8,69.82,0.582
KNA,North America,Saint Kitts and Nevis,9/28/2020,19,0,0.286,0,0,0,357.197,0,5.371,0,0,0,0,0,0,0,0,0,0,0,0,0,53192,212.865,0,0,0,24654.385,0,0,12.84,0,0,0,2.3,76.23,0.778
KOR,Asia,South Korea,9/28/2020,23661,50,88,406,5,3,461.505,0.975,1.716,7.919,0.098,0.059,5077,2282716,44.524,0.099,10523,0.205,119.58,0.008,people tested,0,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,0,12.27,83.03,0.903
KWT,Asia,Kuwait,9/28/2020,103544,345,587.143,601,4,2.429,24245.983,80.786,137.486,140.731,0.937,0.569,0,0,0,0,0,0,0,0,0,0,4270563,232.128,33.7,2.345,1.114,65530.537,0,132.235,15.84,2.7,37,0,2,75.49,0.803
LAO,Asia,Laos,9/28/2020,23,0,0,0,0,0,3.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.601
LBN,Asia,Lebanon,9/28/2020,36254,1012,993,347,7,7.143,5311.597,148.269,145.485,50.839,1.026,1.047,0,0,0,0,0,0,0,0,0,0,6825442,594.561,31.1,8.514,5.43,13367.565,0,266.591,12.71,26.9,40.7,0,2.9,78.93,0.757
LBR,Africa,Liberia,9/28/2020,1339,1,0.571,82,0,0,264.746,0.198,0.113,16.213,0,0,0,0,0,0,0,0,0,0,0,0,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.435
LBY,Africa,Libya,9/28/2020,32364,536,630.714,520,21,11.714,4710.035,78.006,91.79,75.677,3.056,1.705,0,0,0,0,0,0,0,0,0,0,6871287,3.623,29,4.424,2.816,17881.509,0,341.862,10.43,0,0,0,3.7,72.91,0.706
LCA,North America,Saint Lucia,9/28/2020,27,0,0,0,0,0,147.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183629,293.187,34.9,9.721,6.405,12951.839,0,204.62,11.62,0,0,87.202,1.3,76.2,0.747
LIE,Europe,Liechtenstein,9/28/2020,117,0,0.714,1,0,0,3067.887,0,18.729,26.221,0,0,0,0,0,0,0,0,0,0,0,0,38137,237.012,0,0,0,0,0,0,7.77,0,0,0,2.397,82.49,0.916
LKA,Asia,Sri Lanka,9/28/2020,3360,11,10.429,13,0,0,156.912,0.514,0.487,0.607,0,0,0,0,0,0,0,0,0,0,0,0,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,0,3.6,76.98,0.77
LSO,Africa,Lesotho,9/28/2020,1558,0,19.143,35,0,0.286,727.272,0,8.936,16.338,0,0.133,0,0,0,0,0,0,0,0,0,0,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,0,54.33,0.52
LTU,Europe,Lithuania,9/28/2020,4385,90,91.571,91,2,0.571,1610.776,33.06,33.638,33.428,0.735,0.21,0,0,0,0,0,0,0,0,0,0,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,0,6.56,75.93,0.858
LUX,Europe,Luxembourg,9/28/2020,8357,46,79,124,0,0,13350.352,73.485,126.203,198.091,0,0,0,0,0,0,0,0,0,0,0,0,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,0,4.51,82.25,0.904
LVA,Europe,Latvia,9/28/2020,1676,22,21.571,36,0,0,888.558,11.664,11.436,19.086,0,0,1398,312230,165.534,0.741,2262,1.199,104.861,0.01,tests performed,0,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,0,5.57,75.29,0.847
MAR,Africa,Morocco,9/28/2020,117685,2444,2277.429,2069,28,34.143,3188.383,66.214,61.701,56.054,0.759,0.925,0,0,0,0,0,0,0,0,0,0,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,0,1.1,76.68,0.667
MCO,Europe,Monaco,9/28/2020,210,0,2.429,1,0,0,5351.136,0,61.884,25.482,0,0,0,0,0,0,0,0,0,0,0,0,39244,19347.5,0,0,0,0,0,0,5.46,0,0,0,13.8,86.75,0
MDA,Europe,Moldova,9/28/2020,50875,341,611.286,1287,8,12,12611.667,84.532,151.535,319.041,1.983,2.975,0,0,0,0,0,0,0,0,0,0,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.7
MDG,Africa,Madagascar,9/28/2020,16285,28,33.143,229,0,0.857,588.097,1.011,1.197,8.27,0,0.031,0,0,0,0,0,0,0,0,0,0,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,0,0,50.54,0.2,67.04,0.519
MDV,Asia,Maldives,9/28/2020,10098,53,53.429,34,0,0.143,18681.25,98.05,98.843,62.9,0,0.264,0,0,0,0,0,0,0,0,0,0,540542,1454.433,30.6,4.12,2.875,15183.616,0,164.905,9.19,2.1,55,95.803,0,78.92,0.717
MEX,North America,Mexico,9/28/2020,730317,3886,4664.857,76430,187,419.571,5664.325,30.14,36.181,592.79,1.45,3.254,0,0,0,0,0,0,0,0,0,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.774
MKD,Europe,Macedonia,9/28/2020,17629,146,127.714,725,3,4.571,8461.73,70.078,61.301,347.992,1.44,2.194,0,0,0,0,0,0,0,0,0,0,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,0,0,0,4.28,75.8,0.757
MLI,Africa,Mali,9/28/2020,3086,6,10.429,130,0,0.286,152.389,0.296,0.515,6.419,0,0.014,0,0,0,0,0,0,0,0,0,0,20250834,15.196,16.4,2.519,1.486,2014.306,0,268.024,2.42,1.6,23,52.232,0.1,59.31,0.427
MLT,Europe,Malta,9/28/2020,2929,0,28.286,29,0,1.286,6633.616,0,64.062,65.679,0,2.912,0,0,0,0,0,0,0,0,0,0,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,0,4.485,82.53,0.878
MMR,Asia,Myanmar,9/28/2020,10734,743,704.143,226,28,18.857,197.281,13.656,12.941,4.154,0.515,0.347,0,0,0,0,0,0,0,0,0,0,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.578
MNE,Europe,Montenegro,9/28/2020,10313,116,243,158,0,3.143,16420.353,184.695,386.904,251.568,0,5.004,0,0,0,0,0,0,0,0,0,0,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,0,3.861,76.88,0.814
MNG,Asia,Mongolia,9/28/2020,313,0,0.143,0,0,0,95.477,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.741
MNP,Oceania,Northern Mariana Islands,9/28/2020,70,1,0.143,2,0,0,1216.186,17.374,2.482,34.748,0,0,0,0,0,0,0,0,0,0,0,0,57557,119.878,0,0,0,0,0,194.994,0,0,0,0,0,76.74,0
MOZ,Africa,Mozambique,9/28/2020,7983,226,173.143,58,4,2.143,255.412,7.231,5.54,1.856,0.128,0.069,0,0,0,0,0,0,0,0,0,0,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.437
MRT,Africa,Mauritania,9/28/2020,7462,5,13.429,161,0,0,1604.849,1.075,2.888,34.626,0,0,0,0,0,0,0,0,0,0,0,0,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,0,0,15.95,0,64.92,0.52
MSR,North America,Montserrat,9/28/2020,13,0,0,1,0,0,2600.52,0,0,200.04,0,0,0,0,0,0,0,0,0,0,0,0,4999,0,0,0,0,0,0,0,0,0,0,0,0,74.16,0
MUS,Africa,Mauritius,9/28/2020,367,0,0,10,0,0,288.575,0,0,7.863,0,0,0,0,0,0,0,0,0,0,0,0,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,0,3.4,74.99,0.79
MWI,Africa,Malawi,9/28/2020,5768,5,5.286,179,0,0,301.517,0.261,0.276,9.357,0,0,0,0,0,0,0,0,0,0,0,54.63,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.477
MYS,Asia,Malaysia,9/28/2020,10919,150,100,134,1,0.571,337.36,4.634,3.09,4.14,0.031,0.018,0,0,0,0,0,0,0,0,0,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,0,1.9,76.16,0.802
NAM,Africa,Namibia,9/28/2020,11033,115,93.714,120,0,1.143,4342.135,45.259,36.882,47.227,0,0.45,0,0,0,0,0,0,0,0,0,0,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,0,63.71,0.647
NCL,Oceania,New Caledonia,9/28/2020,27,0,0.143,0,0,0,94.574,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,285491,15.342,33.4,9.954,6.489,0,0,0,23.36,0,0,0,0,77.55,0
NER,Africa,Niger,9/28/2020,1196,2,1.143,69,0,0,49.408,0.083,0.047,2.85,0,0,0,0,0,0,0,0,0,0,0,0,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.354
NGA,Africa,Nigeria,9/28/2020,58324,126,154.571,1108,2,1.429,282.934,0.611,0.75,5.375,0.01,0.007,0,0,0,0,0,0,0,0,0,0,206139587,209.588,18.1,2.751,1.447,5338.454,0,181.013,2.42,0.6,10.8,41.949,0,54.69,0.532
NIC,North America,Nicaragua,9/28/2020,5086,0,17.857,149,0,0.286,767.75,0,2.696,22.492,0,0.043,0,0,0,0,0,0,0,0,0,0,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,0,0,0,0.9,74.48,0.658
NLD,Europe,Netherlands,9/28/2020,111510,2989,2546.571,6365,8,13.571,6507.781,174.44,148.619,371.465,0.467,0.792,0,0,0,0,0,0,0,0,0,0,17134873,508.544,43.2,18.779,11.881,48472.545,0,109.361,5.29,24.4,27.3,0,3.32,82.28,0.931
NOR,Europe,Norway,9/28/2020,13406,0,108.714,270,0,0.429,2472.865,0,20.053,49.804,0,0.079,0,0,0,0,0,0,0,0,0,0,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,0,3.6,82.4,0.953
NPL,Asia,Nepal,9/28/2020,73394,1573,1324.571,477,10,9.429,2518.944,53.987,45.46,16.371,0.343,0.324,0,0,0,0,0,0,0,0,0,0,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.574
NZL,Oceania,New Zealand,9/28/2020,1477,0,1.857,25,0,0,306.29,0,0.385,5.184,0,0,0,0,0,0,0,0,0,0,0,0,4822233,18.206,37.9,15.322,9.72,36085.843,0,128.797,8.08,14.8,17.2,0,2.61,82.29,0.917
OMN,Asia,Oman,9/28/2020,97450,1543,567.857,909,24,9,19083.065,302.157,111.2,178.004,4.7,1.762,0,0,0,0,0,0,0,0,0,0,5106622,14.98,30.7,2.355,1.53,37960.709,0,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.821
PAK,Asia,Pakistan,9/28/2020,310841,566,648.143,6466,9,6.571,1407.206,2.562,2.934,29.272,0.041,0.03,28887,3449541,15.616,0.131,36461,0.165,56.255,0.018,tests performed,41.2,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAN,North America,Panama,9/28/2020,110555,447,621.714,2340,17,11.857,25622.467,103.598,144.09,542.323,3.94,2.748,0,0,0,0,0,0,0,0,0,0,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,0,2.3,78.51,0.789
PER,South America,Peru,9/28/2020,805302,5160,5201,32262,120,127.571,24423.928,156.497,157.741,978.471,3.639,3.869,0,0,0,0,0,0,0,0,0,85.19,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,0,0,1.6,76.74,0.75
PHL,Asia,Philippines,9/28/2020,304226,2970,2497.571,5344,60,51.429,2776.264,27.103,22.792,48.768,0.548,0.469,0,0,0,0,0,0,0,0,0,0,109581085,351.873,25.2,4.803,2.661,7599.188,0,370.437,7.07,7.8,40.8,78.463,1,71.23,0.699
PNG,Oceania,Papua New Guinea,9/28/2020,532,0,2.143,7,0,0,59.461,0,0.24,0.782,0,0,0,0,0,0,0,0,0,0,0,0,8947027,18.22,22.6,3.808,2.142,3823.194,0,561.494,17.65,23.5,48.8,0,0,64.5,0.544
POL,Europe,Poland,9/28/2020,87330,1350,1155.714,2432,8,19.857,2307.472,35.67,30.537,64.259,0.211,0.525,0,0,0,0,0,0,0,0,0,0,37846605,124.027,41.8,16.763,10.202,27216.445,0,227.331,5.91,23.3,33.1,0,6.62,78.73,0.865
PRI,North America,Puerto Rico,9/28/2020,46304,891,638,644,2,5.143,16185.456,311.447,223.011,225.109,0.699,1.798,0,0,0,0,0,0,0,0,0,0,2860840,376.232,38.2,15.168,9.829,35044.67,0,108.094,12.9,0,0,0,0,80.1,0
PRT,Europe,Portugal,9/28/2020,73604,665,718.143,1953,9,5.857,7218.409,65.217,70.429,191.532,0.883,0.574,0,0,0,0,0,0,0,0,0,0,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,0,3.39,82.05,0.847
PRY,South America,Paraguay,9/28/2020,38684,762,737.714,803,21,20.571,5423.601,106.834,103.43,112.583,2.944,2.884,0,0,0,0,0,0,0,0,0,0,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.702
PSE,Asia,Palestine,9/28/2020,49193,621,535.286,343,9,6.143,9643.009,121.731,104.929,67.236,1.764,1.204,0,0,0,0,0,0,0,0,0,0,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,0,0,0,0,74.05,0.686
PYF,Oceania,French Polynesia,9/28/2020,1332,0,2,5,0,0.429,4741.834,0,7.12,17.8,0,1.526,0,0,0,0,0,0,0,0,0,0,280904,77.324,32.7,7.775,4.593,0,0,0,22.63,0,0,0,0,77.66,0
QAT,Asia,Qatar,9/28/2020,125084,234,244,214,0,0.571,43415.965,81.22,84.691,74.278,0,0.198,0,0,0,0,0,0,0,0,0,0,2881060,227.322,31.9,1.307,0.617,116935.6,0,176.69,16.52,0.8,26.9,0,1.2,80.23,0.856
ROU,Europe,Romania,9/28/2020,122673,1438,1413.143,4718,31,40.429,6376.704,74.749,73.457,245.248,1.611,2.102,0,0,0,0,0,0,0,0,0,0,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,0,6.892,76.05,0.811
RUS,Europe,Russia,9/28/2020,1151438,7867,6862.714,20324,99,129.429,7890.104,53.908,47.026,139.268,0.678,0.887,0,0,0,0,0,0,0,0,0,0,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,0,8.05,72.58,0.816
RWA,Africa,Rwanda,9/28/2020,4820,9,15.571,29,0,0.429,372.137,0.695,1.202,2.239,0,0.033,0,0,0,0,0,0,0,0,0,0,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,0,69.02,0.524
SAU,Asia,Saudi Arabia,9/28/2020,333193,403,491.286,4683,28,28.286,9570.698,11.576,14.112,134.515,0.804,0.812,0,0,0,0,0,0,0,0,0,0,34813867,15.322,31.9,3.295,1.845,49045.411,0,259.538,17.72,1.8,25.4,0,2.7,75.13,0.853
SDN,Africa,Sudan,9/28/2020,13606,0,7.286,836,0,0,310.29,0,0.166,19.065,0,0,0,0,0,0,0,0,0,0,0,0,43849269,23.258,19.7,3.548,2.034,4466.507,0,431.388,15.67,0,0,23.437,0.8,65.31,0.502
SEN,Africa,Senegal,9/28/2020,14909,40,27.857,308,2,0.857,890.412,2.389,1.664,18.395,0.119,0.051,0,0,0,0,0,0,0,0,0,0,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,0,67.94,0.505
SGP,Asia,Singapore,9/28/2020,57700,15,17.714,27,0,0,9862.67,2.564,3.028,4.615,0,0,0,0,0,0,0,0,0,0,0,0,5850343,7915.731,42.4,12.922,7.049,85535.383,0,92.243,10.99,5.2,28.3,0,2.4,83.62,0.932
SLE,Africa,Sierra Leone,9/28/2020,2215,7,6.714,72,0,0,277.674,0.878,0.842,9.026,0,0,0,0,0,0,0,0,0,0,0,0,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,0,54.7,0.419
SLV,North America,El Salvador,9/28/2020,28630,215,153.857,826,0,2,4413.986,33.147,23.721,127.347,0,0.308,0,0,0,0,0,0,0,0,0,0,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
SMR,Europe,San Marino,9/28/2020,746,0,3.286,42,0,0,21981.26,0,96.815,1237.551,0,0,0,0,0,0,0,0,0,0,0,0,33938,556.667,0,0,0,56861.47,0,0,5.64,0,0,0,3.8,84.97,0
SOM,Africa,Somalia,9/28/2020,3588,0,20.857,99,0,0.143,225.757,0,1.312,6.229,0,0.009,0,0,0,0,0,0,0,0,0,0,15893219,23.5,16.8,2.731,1.496,0,0,365.769,6.05,0,0,9.831,0.9,57.4,0
SRB,Europe,Serbia,9/28/2020,33384,72,68,747,1,0.857,4906.096,10.581,9.993,109.779,0.147,0.126,0,0,0,0,0,0,0,0,0,0,6804596,80.291,41.2,17.366,0,14048.881,0,439.415,10.08,37.7,40.2,97.719,5.609,76,0.787
SSD,Africa,South Sudan,9/28/2020,2686,10,6.286,49,0,0,239.956,0.893,0.562,4.377,0,0,0,0,0,0,0,0,0,0,0,0,11193729,0,19.2,3.441,2.032,1569.888,0,280.775,10.43,0,0,0,0,57.85,0.388
STP,Africa,Sao Tome and Principe,9/28/2020,911,0,0.429,15,0,0,4156.761,0,1.956,68.443,0,0,0,0,0,0,0,0,0,0,0,0,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,0,0,41.34,2.9,70.39,0.589
SUR,South America,Suriname,9/28/2020,4835,4,16,102,0,0.714,8241.936,6.819,27.274,173.873,0,1.218,0,0,0,0,0,0,0,0,0,0,586634,3.612,29.6,6.933,4.229,13767.119,0,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.72
SVK,Europe,Slovakia,9/28/2020,9078,478,343,44,0,0.714,1662.746,87.552,62.825,8.059,0,0.131,0,0,0,0,0,0,0,0,0,0,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,0,5.82,77.54,0.855
SVN,Europe,Slovenia,9/28/2020,5350,159,132.857,136,0,0.429,2573.437,76.482,63.906,65.418,0,0.206,0,0,0,0,0,0,0,0,0,0,2078932,102.619,44.5,19.062,12.93,31400.84,0,153.493,7.25,20.1,25,0,4.5,81.32,0.896
SWZ,Africa,Swaziland,9/28/2020,5431,12,23.143,108,0,0.571,4681.235,10.343,19.948,93.09,0,0.493,0,0,0,0,0,0,0,0,0,0,1160164,79.492,21.5,3.163,1.845,7738.975,0,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.588
SXM,North America,Sint Maarten (Dutch part),9/28/2020,644,11,8.571,22,0,0.286,15017.956,256.518,199.884,513.036,0,6.663,0,0,0,0,0,0,0,0,0,0,42882,1209.088,0,0,0,36327.232,0,0,0,0,0,0,0,78.95,0
SYC,Africa,Seychelles,9/28/2020,143,0,0.286,0,0,0,1454.139,0,2.905,0,0,0,0,0,0,0,0,0,0,0,0,0,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,0,3.6,73.4,0.797
SYR,Asia,Syria,9/28/2020,4072,34,38.857,192,4,2.857,232.677,1.943,2.22,10.971,0.229,0.163,0,0,0,0,0,0,0,0,0,0,17500657,0,21.7,0,2.577,0,0,376.264,0,0,0,70.598,1.5,72.7,0.536
TCA,North America,Turks and Caicos Islands,9/28/2020,682,1,2,5,0,0,17614.546,25.828,51.656,129.139,0,0,0,0,0,0,0,0,0,0,0,0,38718,37.312,0,0,0,0,0,0,0,0,0,0,0,80.22,0
TCD,Africa,Chad,9/28/2020,1178,1,3.857,84,1,0.429,71.716,0.061,0.235,5.114,0.061,0.026,0,0,0,0,0,0,0,0,0,73.15,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,0,0,5.818,0,54.24,0.404
TGO,Africa,Togo,9/28/2020,1743,7,11,46,0,0.714,210.539,0.846,1.329,5.556,0,0.086,0,0,0,0,0,0,0,0,0,0,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
THA,Asia,Thailand,9/28/2020,3545,22,5.571,59,0,0,50.788,0.315,0.08,0.845,0,0,0,0,0,0,0,0,0,0,0,0,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.755
TJK,Asia,Tajikistan,9/28/2020,9646,41,42.857,75,0,0.286,1011.361,4.299,4.493,7.864,0,0.03,0,0,0,0,0,0,0,0,0,0,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,0,0,72.704,4.8,71.1,0.65
TLS,Asia,Timor,9/28/2020,27,0,0,0,0,0,20.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
TTO,North America,Trinidad and Tobago,9/28/2020,4362,50,65.857,71,1,0.857,3116.847,35.727,47.058,50.733,0.715,0.612,0,0,0,0,0,0,0,0,0,0,1399491,266.886,36.2,10.014,5.819,28763.071,0,228.467,10.97,0,0,89.443,3,73.51,0.784
TUN,Africa,Tunisia,9/28/2020,16114,936,768.857,214,7,7.857,1363.442,79.197,65.055,18.107,0.592,0.665,0,0,0,0,0,0,0,0,0,0,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.735
TUR,Asia,Turkey,9/28/2020,314433,1467,1652.286,7997,68,70.143,3728.201,17.394,19.591,94.82,0.806,0.832,101119,10037700,119.016,1.199,93678,1.111,56.696,0.018,tests performed,0,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,0,2.81,77.69,0.791
TWN,Asia,Taiwan,9/28/2020,510,0,0.143,7,0,0,21.413,0,0.006,0.294,0,0,0,0,0,0,0,0,0,0,0,0,23816775,0,42.2,0,8.353,0,0,103.957,0,0,0,0,0,80.46,0
TZA,Africa,Tanzania,9/28/2020,509,0,0,21,0,0,8.521,0,0,0.352,0,0,0,0,0,0,0,0,0,0,0,8.33,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.538
UGA,Africa,Uganda,9/28/2020,7530,166,177.571,73,2,1.429,164.623,3.629,3.882,1.596,0.044,0.031,0,0,0,0,0,0,0,0,0,0,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.516
UKR,Europe,Ukraine,9/28/2020,198634,3130,3279.429,3959,56,57.429,4541.892,71.569,74.986,90.525,1.28,1.313,16533,2226508,50.911,0.378,23981,0.548,7.313,0.137,tests performed,0,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,0,8.8,72.06,0.751
URY,South America,Uruguay,9/28/2020,2008,10,13,47,0,0.143,578.053,2.879,3.742,13.53,0,0.041,0,0,0,0,0,0,0,0,0,0,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,0,2.8,77.91,0.804
USA,North America,United States,9/28/2020,7115046,36248,44318.857,204756,259,749.571,21495.435,109.51,133.893,618.593,0.782,2.265,0,0,0,0,0,0,0,0,0,62.5,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,0,2.77,78.86,0.924
UZB,Asia,Uzbekistan,9/28/2020,55593,640,543.429,460,6,3.571,1661.02,19.122,16.237,13.744,0.179,0.107,0,0,0,0,0,0,0,0,0,0,33469199,76.134,28.2,4.469,2.873,6253.104,0,724.417,7.57,1.3,24.7,0,4,71.72,0.71
