iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BHS,North America,Bahamas,9/28/2020,3790,0,60,87,0,1.857,9637.684,0,152.575,221.234,0,4.723,0,0,0,0,0,0,0,0,0,0,393248,39.497,34.3,8.996,5.2,27717.847,0,235.954,13.17,3.1,20.4,0,2.9,73.92,0.807
BIH,Europe,Bosnia and Herzegovina,9/28/2020,26917,122,213.286,810,2,7.571,8204.364,37.186,65.01,246.89,0.61,2.308,0,0,0,0,0,0,0,0,0,0,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
BLR,Europe,Belarus,9/28/2020,77609,320,276.429,818,5,5.429,8213.183,33.865,29.254,86.567,0.529,0.574,0,0,0,0,0,0,0,0,0,0,9449321,46.858,40.3,14.799,9.788,17167.967,0,443.129,5.18,10.5,46.1,0,11,74.79,0.808
BLZ,North America,Belize,9/28/2020,1854,29,32.429,24,0,0.429,4662.732,72.934,81.556,60.359,0,1.078,0,0,0,0,0,0,0,0,0,72.22,397621,16.426,25,3.853,2.279,7824.362,0,176.957,17.11,0,0,90.083,1.3,74.62,0.708
BMU,North America,Bermuda,9/28/2020,181,0,0.143,9,0,0,2906.557,0,2.294,144.525,0,0,0,0,0,0,0,0,0,0,0,31.48,62273,1308.82,0,0,0,50669.315,0,139.547,13,0,0,0,0,82.59,0
BOL,South America,Bolivia,9/28/2020,133901,309,460.714,7858,30,34.429,11470.973,26.471,39.468,673.176,2.57,2.949,0,0,0,0,0,0,0,0,0,0,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,0,0,25.383,1.1,71.51,0.693
BRA,South America,Brazil,9/28/2020,4732309,14318,26811.429,141741,335,692.286,22263.465,67.36,126.136,666.83,1.576,3.257,0,0,0,0,0,0,0,0,0,0,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,0,2.2,75.88,0.759
BRB,North America,Barbados,9/28/2020,190,0,0.143,7,0,0,661.166,0,0.497,24.359,0,0,0,0,0,0,0,0,0,0,0,0,287371,664.463,39.8,14.952,9.473,16978.068,0,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
BRN,Asia,Brunei,9/28/2020,146,0,0.143,3,0,0,333.727,0,0.327,6.857,0,0,0,0,0,0,0,0,0,0,0,0,437483,81.347,32.4,4.591,2.382,71809.251,0,201.285,12.79,2,30.9,0,2.7,75.86,0.853
BTN,Asia,Bhutan,9/28/2020,273,2,1.714,0,0,0,353.805,2.592,2.222,0,0,0,0,0,0,0,0,0,0,0,0,0,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,0,0,79.807,1.7,71.78,0.612
BWA,Africa,Botswana,9/28/2020,2921,0,50.571,16,0,0.429,1242.12,0,21.505,6.804,0,0.182,0,0,0,0,0,0,0,0,0,0,2351625,4.044,25.8,3.941,2.242,15807.374,0,237.372,4.81,5.7,34.4,0,1.8,69.59,0.717
CAF,Africa,Central African Republic,9/28/2020,4806,0,1.857,62,0,0,995.08,0,0.385,12.837,0,0,0,0,0,0,0,0,0,0,0,0,4829764,7.479,18.3,3.655,2.251,661.24,0,435.727,6.1,0,0,16.603,1,53.28,0.367
CAN,North America,Canada,9/28/2020,153125,1454,1353.714,9268,6,7.286,4057.134,38.525,35.867,245.561,0.159,0.193,68251,7117709,188.588,1.808,71318,1.89,52.683,0.019,people tested,0,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,0,2.5,82.43,0.926
CHE,Europe,Switzerland,9/28/2020,51864,0,384.714,1778,0,2,5992.639,0,44.452,205.439,0,0.231,0,0,0,0,0,0,0,0,0,0,8654618,214.243,43.1,18.436,12.644,57410.166,0,99.739,5.59,22.6,28.9,0,4.53,83.78,0.944
CHL,South America,Chile,9/28/2020,457901,1922,1661,12641,50,50.714,23953.546,100.543,86.89,661.271,2.616,2.653,0,0,0,0,0,0,0,0,0,0,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,0,2.11,80.18,0.843
CHN,Asia,China,9/28/2020,90483,27,16.286,4739,0,0.286,62.865,0.019,0.011,3.293,0,0,0,0,0,0,0,0,0,0,0,0,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,0,4.34,76.91,0.752
CIV,Africa,Cote d'Ivoire,9/28/2020,19629,29,44.143,120,0,0,744.135,1.099,1.673,4.549,0,0,0,0,0,0,0,0,0,0,0,0,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,0,0,19.351,0,57.78,0.492
CMR,Africa,Cameroon,9/28/2020,20735,0,43.429,418,0,0.286,781.101,0,1.636,15.746,0,0.011,0,0,0,0,0,0,0,0,0,0,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,0,0,2.735,1.3,59.29,0.556
COD,Africa,Democratic Republic of Congo,9/28/2020,10611,19,13.857,270,0,0,118.477,0.212,0.155,3.015,0,0,0,0,0,0,0,0,0,0,0,0,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,0,0,4.472,0,60.68,0.457
COG,Africa,Congo,9/28/2020,5008,0,3.143,89,0,0,907.56,0,0.57,16.129,0,0,0,0,0,0,0,0,0,0,0,0,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,0,64.57,0.606
COL,South America,Colombia,9/28/2020,813056,7018,6854.286,25488,192,182.857,15978.968,137.925,134.707,500.915,3.773,3.594,0,0,0,0,0,0,0,0,0,0,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.747
COM,Africa,Comoros,9/28/2020,478,0,1.143,7,0,0,549.681,0,1.314,8.05,0,0,0,0,0,0,0,0,0,0,0,0,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.503
CPV,Africa,Cape Verde,9/28/2020,5771,70,73.429,57,1,0.857,10379.72,125.902,132.069,102.52,1.799,1.542,0,0,0,0,0,0,0,0,0,0,555988,135.58,25.7,4.46,3.437,6222.554,0,182.219,2.42,2.1,16.5,0,2.1,72.98,0.654
CRI,North America,Costa Rica,9/28/2020,72049,0,1191,828,0,17.429,14143.578,0,233.799,162.541,0,3.421,0,0,0,0,0,0,0,0,0,0,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.794
CUB,North America,Cuba,9/28/2020,5457,45,52.286,122,2,1,481.786,3.973,4.616,10.771,0.177,0.088,0,0,0,0,0,0,0,0,0,0,11326616,110.408,43.1,14.738,9.719,0,0,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
CUW,North America,Curacao,9/28/2020,360,23,13.143,1,0,0,2193.784,140.158,80.091,6.094,0,0,0,0,0,0,0,0,0,0,0,0,164100,362.644,41.7,16.367,10.068,0,0,0,11.62,0,0,0,0,78.88,0
CYM,North America,Cayman Islands,9/28/2020,210,0,0.143,1,0,0,3195.374,0,2.174,15.216,0,0,0,0,0,0,0,0,0,0,0,0,65720,256.496,0,0,0,49903.029,0,0,13.22,0,0,0,0,83.92,0
CYP,Europe,Cyprus,9/28/2020,1696,12,13.714,22,0,0,1936.296,13.7,15.657,25.117,0,0,0,0,0,0,0,0,0,0,0,0,875899,127.657,37.3,13.416,8.563,32415.132,0,141.171,9.24,19.6,52.7,0,3.4,80.98,0.869
CZE,Europe,Czech Republic,9/28/2020,64597,1303,2193.857,606,15,14.714,6032.039,121.674,204.861,56.588,1.401,1.374,0,0,0,0,0,0,0,0,0,0,10708982,137.176,43.3,19.027,11.58,32605.906,0,227.485,6.82,30.5,38.3,0,6.63,79.38,0.888
DEU,Europe,Germany,9/28/2020,285332,1192,1856.429,9460,3,10.571,3405.569,14.227,22.157,112.909,0.036,0.126,0,0,0,0,0,0,0,0,0,0,83783945,237.016,46.6,21.453,15.957,45229.245,0,156.139,8.31,28.2,33.1,0,8,81.33,0.936
DJI,Africa,Djibouti,9/28/2020,5409,0,0.857,61,0,0,5474.685,0,0.868,61.741,0,0,0,0,0,0,0,0,0,0,0,0,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,0,1.4,67.11,0.476
DMA,North America,Dominica,9/28/2020,24,0,0,0,0,0,333.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71991,98.567,0,0,0,9673.367,0,227.376,11.62,0,0,0,3.8,75,0.715
DNK,Europe,Denmark,9/28/2020,26637,424,684.286,649,1,2,4598.768,73.202,118.139,112.047,0.173,0.345,0,0,0,0,0,0,0,0,0,0,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,0,2.5,80.9,0.929
