continent,location,population,population_density,total_cases,total_deaths,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,latitude,longitude
North America,Dominican Republic,10847904,222.873,111386,2095,14600.861,266.653,8.2,55.181999999999995,1.6,74.08,18.735692999999998,-70.162651
Africa,Algeria,43851043,17.348,51067,1714,13913.839,278.36400000000003,6.73,83.741,1.9,76.88,28.033886,1.6596259999999998
South America,Ecuador,17643060,66.939,134747,11279,10581.936000000002,140.44799999999998,5.55,80.635,1.5,77.01,-1.8312389999999998,-78.183406
Africa,Egypt,102334403,97.999,102840,5883,10550.206,525.432,17.31,89.82700000000001,1.6,71.99,26.820553000000004,30.802497999999996
Africa,Eritrea,3546427,44.303999999999995,375,0,1510.4589999999998,311.11,6.05,0.0,0.7,66.32,15.179383999999999,39.782334000000006
Africa,Western Sahara,597330,0.0,766,1,0.0,0.0,0.0,0.0,0.0,70.26,24.215526999999998,-12.885834
Europe,Estonia,1326539,31.033,3200,64,29481.252,255.56900000000002,4.02,0.0,4.69,78.74,58.595271999999994,25.013607
Africa,Ethiopia,114963583,104.95700000000001,73332,1170,1729.9270000000001,182.63400000000001,7.47,7.96,0.3,66.6,9.145,40.489672999999996
Europe,Finland,5540718,18.136,9682,343,40585.721,153.507,5.76,0.0,3.28,81.91,61.92411,25.748151
Oceania,Fiji,896444,49.562,32,2,8702.975,412.82,14.49,0.0,2.3,67.44,-16.578193,179.414413
Europe,France,65273512,122.57799999999999,538569,31727,38605.671,86.06,4.77,0.0,5.98,82.66,46.227638,2.213749
Africa,Gabon,2225728,7.859,8728,54,16562.413,259.967,7.2,0.0,6.3,66.47,-0.803689,11.609444
Europe,United Kingdom,67886004,272.89799999999997,434969,41988,39753.244,122.137,4.28,0.0,2.54,81.32,55.378051,-3.435973
Asia,Georgia,3989175,65.032,5552,28,9745.079,496.218,7.11,0.0,2.6,73.77,42.315407,43.356891999999995
Europe,Guernsey,67052,0.0,256,13,0.0,0.0,0.0,0.0,0.0,0.0,49.465691,-2.5852779999999997
Africa,Ghana,31072945,126.719,46387,299,4227.63,298.245,4.97,41.047,0.9,64.07,7.946527000000001,-1.0231940000000002
Europe,Gibraltar,33691,3457.1,379,0,0.0,0.0,0.0,0.0,0.0,79.93,36.137741,-5.345374
Africa,Guinea,13132792,51.755,10580,66,1998.9260000000002,336.717,2.42,17.45,0.3,61.6,9.945587,-9.696645
Africa,Gambia,2416664,207.56599999999997,3569,111,1561.767,331.43,1.91,7.876,1.1,62.05,13.443182,-15.310139000000001
Africa,Guinea-Bissau,1967998,66.191,2324,39,1548.675,382.474,2.42,6.403,0.0,58.32,11.803749,-15.180413
Africa,Equatorial Guinea,1402985,45.193999999999996,5028,83,22604.873,202.812,7.78,24.64,2.1,58.74,1.6508009999999997,10.267895
Europe,Greece,10423056,83.479,17444,379,24574.382,175.695,4.55,0.0,4.21,82.24,39.074208,21.824312
North America,Grenada,112519,317.132,24,0,13593.877,243.96400000000003,10.71,0.0,3.7,72.4,12.262775999999999,-61.604170999999994
North America,Greenland,56772,0.13699999999999998,14,0,0.0,199.94099999999997,2.16,0.0,0.0,71.7,71.706936,-42.604303
North America,Guatemala,17915567,157.834,90092,3229,7423.808000000001,155.898,10.18,76.665,0.6,74.3,15.783470999999999,-90.23075899999999
Oceania,Guam,168783,304.128,2354,42,0.0,310.496,21.52,0.0,0.0,80.07,13.444304,144.793731
South America,Guyana,786559,3.952,2772,76,7435.047,373.159,11.62,77.15899999999999,1.6,69.91,4.860416000000001,-58.93018000000001
North America,Honduras,9904608,82.805,75109,2289,4541.795,240.208,7.21,84.169,0.7,75.27,15.199998999999998,-86.241905
Europe,Croatia,4105268,73.726,16197,272,22669.797000000002,253.782,5.59,0.0,5.54,78.49,45.1,15.2
North America,Haiti,11402533,398.44800000000004,8723,227,1653.1729999999998,430.548,6.65,22.863000000000003,0.7,64.0,18.971187,-72.28521500000001
Europe,Hungary,9660350,108.04299999999999,24716,749,26777.561,278.296,7.55,0.0,7.02,76.88,47.162494,19.503304
Asia,Indonesia,273523621,145.725,285599,10386,11188.743999999999,342.86400000000003,6.32,64.204,1.04,71.72,-0.789275,113.921327
Europe,Isle of Man,85032,147.872,340,24,0.0,0.0,0.0,0.0,0.0,81.4,54.236107,-4.548056
Asia,India,1380004385,450.41900000000004,6074702,95542,6426.674,282.28,10.39,59.55,0.53,69.66,20.593684,78.96288
Europe,Ireland,4937796,69.874,34990,1802,67335.293,126.459,3.28,0.0,2.96,82.3,53.41291,-8.243889999999999
Asia,Iran,83992953,49.831,446448,25589,19082.62,270.308,9.59,0.0,1.5,76.68,32.427908,53.68804599999999
Asia,Iraq,40222503,88.125,349450,8990,15663.986,218.612,8.83,94.57600000000001,1.4,70.6,33.223191,43.679291
Europe,Iceland,341250,3.404,2623,10,46482.958,117.992,5.31,0.0,2.91,82.99,64.96305100000001,-19.020835
Asia,Israel,8655541,402.606,231026,1466,33132.32,93.32,6.74,0.0,2.99,82.97,31.046051000000002,34.851612
Europe,Italy,60461828,205.859,309870,35835,35220.084,113.15100000000001,4.78,0.0,3.18,83.51,41.87194,12.56738
North America,Jamaica,2961161,266.879,5993,89,8193.571,206.537,11.28,66.425,1.7,74.47,18.109581,-77.297508
Europe,Jersey,101073,0.0,400,32,0.0,0.0,0.0,0.0,0.0,0.0,49.214439,-2.13125
Asia,Jordan,10203140,109.285,8492,45,8337.49,208.257,11.75,0.0,1.4,74.53,30.585164000000002,36.238414
Asia,Japan,126476458,347.778,82131,1548,39002.223,79.37,5.72,0.0,13.05,84.63,36.204824,138.252924
Asia,Kazakhstan,18776707,6.681,140265,2049,24055.588,466.792,7.11,98.999,6.7,73.6,48.019573,66.923684
Africa,Kenya,53771300,87.324,38115,691,2993.028,218.637,2.92,24.651,1.4,66.7,-0.023559,37.906193
Asia,Kyrgyzstan,6524191,32.333,46355,1064,3393.474,436.36199999999997,7.11,89.22,4.5,71.45,41.20438,74.766098
Asia,Cambodia,16718971,90.67200000000001,276,0,3645.07,270.892,4.0,66.229,0.8,69.82,12.565679,104.990963
North America,Saint Kitts and Nevis,53192,212.865,19,0,24654.385,0.0,12.84,0.0,2.3,76.23,17.357822,-62.782998
Asia,South Korea,51269183,527.967,23661,406,35938.373999999996,85.99799999999999,6.8,0.0,12.27,83.03,35.907757000000004,127.766922
Asia,Kuwait,4270563,232.128,103544,601,65530.537000000004,132.235,15.84,0.0,2.0,75.49,29.311659999999996,47.481766
Asia,Laos,7275556,29.715,23,0,6397.36,368.111,4.0,49.839,1.5,67.92,19.856270000000002,102.495496
Asia,Lebanon,6825442,594.561,36254,347,13367.565,266.591,12.71,0.0,2.9,78.93,33.854721000000005,35.862285
Africa,Liberia,5057677,49.126999999999995,1339,82,752.788,272.509,2.42,1.188,0.8,64.1,6.4280550000000005,-9.429499
Africa,Libya,6871287,3.623,32364,520,17881.509,341.86199999999997,10.43,0.0,3.7,72.91,26.3351,17.228331
North America,Saint Lucia,183629,293.187,27,0,12951.839,204.62,11.62,87.20200000000001,1.3,76.2,13.909444,-60.97889300000001
Europe,Liechtenstein,38137,237.012,117,1,0.0,0.0,7.77,0.0,2.397,82.49,47.166000000000004,9.555373
Asia,Sri Lanka,21413250,341.955,3360,13,11669.077,197.093,10.68,0.0,3.6,76.98,7.873054,80.77179699999999
Africa,Lesotho,2142252,73.562,1558,35,2851.153,405.126,3.94,2.117,0.0,54.33,-29.609988,28.233608
Europe,Lithuania,2722291,45.135,4385,91,29524.265,342.98900000000003,3.67,0.0,6.56,75.93,55.169438,23.881275
Europe,Luxembourg,625976,231.447,8357,124,94277.965,128.275,4.42,0.0,4.51,82.25,49.815273,6.129583
Europe,Latvia,1886202,31.212,1676,36,25063.846,350.06,4.91,0.0,5.57,75.29,56.879635,24.603189
Africa,Morocco,36910558,80.08,117685,2069,7485.013000000001,419.14599999999996,7.14,0.0,1.1,76.68,31.791702,-7.09262
Europe,Monaco,39244,19347.5,210,1,0.0,0.0,5.46,0.0,13.8,86.75,43.750298,7.412841
Europe,Moldova,4033963,123.655,50875,1287,5189.972,408.50199999999995,5.72,86.979,5.8,71.9,47.411631,28.369884999999996
Africa,Madagascar,27691019,43.951,16285,229,1416.44,405.994,3.94,50.54,0.2,67.04,-18.766947000000002,46.869107
Asia,Maldives,540542,1454.433,10098,34,15183.616000000002,164.905,9.19,95.803,0.0,78.92,3.202778,73.22068
North America,Mexico,128932753,66.444,730317,76430,17336.468999999997,152.783,13.06,87.84700000000001,1.38,75.05,23.634501,-102.552784
Africa,Mali,20250834,15.196,3086,130,2014.306,268.024,2.42,52.232,0.1,59.31,17.570692,-3.9961660000000006
Europe,Malta,441539,1454.037,2929,29,36513.323,168.71099999999998,8.83,0.0,4.485,82.53,35.937496,14.375416
Europe,Montenegro,628062,46.28,10313,158,16409.288,387.305,10.08,0.0,3.861,76.88,42.708678000000006,19.37439
Asia,Mongolia,3278292,1.98,313,0,11840.846000000001,460.043,4.82,71.18,7.0,69.87,46.862496,103.84665600000001
Oceania,Northern Mariana Islands,57557,119.87799999999999,70,2,0.0,194.99400000000003,0.0,0.0,0.0,76.74,17.33083,145.38468999999998
Africa,Mozambique,31255435,37.728,7983,58,1136.103,329.94199999999995,3.3,12.227,0.7,60.85,-18.665695,35.529562
Africa,Mauritania,4649660,4.289,7462,161,3597.633,232.347,2.42,15.95,0.0,64.92,21.00789,-10.940835
North America,Montserrat,4999,0.0,13,1,0.0,0.0,0.0,0.0,0.0,74.16,16.742498,-62.187366000000004
Africa,Mauritius,1271767,622.962,367,10,20292.745,224.644,22.02,0.0,3.4,74.99,-20.348404000000002,57.552152
Africa,Malawi,19129955,197.519,5768,179,1095.042,227.34900000000002,3.94,8.704,1.3,64.26,-13.254307999999998,34.301525
Asia,Malaysia,32365998,96.25399999999999,10919,134,26808.164,260.942,16.74,0.0,1.9,76.16,4.210483999999999,101.97576600000001
Africa,Namibia,2540916,3.0780000000000003,11033,120,9541.808,243.81099999999998,3.94,44.6,0.0,63.71,-22.957639999999998,18.49041
Oceania,New Caledonia,285491,15.342,27,0,0.0,0.0,23.36,0.0,0.0,77.55,-20.904304999999997,165.618042
Africa,Niger,24206636,16.955,1196,69,926.0,238.33900000000003,2.42,8.978,0.3,62.42,17.607789,8.081666
Africa,Nigeria,206139587,209.588,58324,1108,5338.454000000001,181.013,2.42,41.949,0.0,54.69,9.081999,8.675277000000001
North America,Nicaragua,6624554,51.667,5086,149,5321.444,137.016,11.47,0.0,0.9,74.48,12.865416,-85.207229
Europe,Netherlands,17134873,508.54400000000004,111510,6365,48472.545,109.361,5.29,0.0,3.32,82.28,52.132633,5.291266
Europe,Norway,5421242,14.462,13406,270,64800.057,114.316,5.31,0.0,3.6,82.4,60.472024,8.468946
Asia,Nepal,29136808,204.43,73394,477,2442.804,260.797,7.26,47.782,0.3,70.78,28.394857000000002,84.12400799999999
Oceania,New Zealand,4822233,18.206,1477,25,36085.843,128.797,8.08,0.0,2.61,82.29,-40.900557,174.88597099999998
Asia,Oman,5106622,14.98,97450,909,37960.709,266.342,12.61,97.4,1.6,77.86,21.512583,55.923255000000005
Asia,Pakistan,220892331,255.57299999999998,310841,6466,5034.708,423.031,8.35,59.607,0.6,67.27,30.375321000000003,69.345116
North America,Panama,4314768,55.133,110555,2340,22267.037,128.346,8.33,0.0,2.3,78.51,8.537981,-80.782127
South America,Peru,32971846,25.129,805302,32262,12236.706,85.755,5.95,0.0,1.6,76.74,-9.189967,-75.015152
Asia,Philippines,109581085,351.87300000000005,304226,5344,7599.188,370.43699999999995,7.07,78.46300000000001,1.0,71.23,12.879721,121.77401699999999
Oceania,Papua New Guinea,8947027,18.22,532,7,3823.1940000000004,561.494,17.65,0.0,0.0,64.5,-6.314993,143.95555
Europe,Poland,37846605,124.027,87330,2432,27216.445,227.331,5.91,0.0,6.62,78.73,51.919438,19.145135999999997
North America,Puerto Rico,2860840,376.23199999999997,46304,644,35044.67,108.094,12.9,0.0,0.0,80.1,18.220833,-66.590149
Europe,Portugal,10196707,112.37100000000001,73604,1953,27936.896,127.84200000000001,9.85,0.0,3.39,82.05,39.399871999999995,-8.224454
South America,Paraguay,7132530,17.144000000000002,38684,803,8827.01,199.128,8.27,79.602,1.3,74.25,-23.442503,-58.44383199999999
Oceania,French Polynesia,280904,77.324,1332,5,0.0,0.0,22.63,0.0,0.0,77.66,-17.679742,-149.40684299999998
Asia,Qatar,2881060,227.322,125084,214,116935.6,176.69,16.52,0.0,1.2,80.23,25.354826,51.183884
Europe,Romania,19237682,85.12899999999999,122673,4718,23313.199,370.94599999999997,9.74,0.0,6.892,76.05,45.943160999999996,24.96676
Europe,Russia,145934460,8.823,1151438,20324,24765.953999999998,431.29699999999997,6.18,0.0,8.05,72.58,61.52401,105.31875600000001
Africa,Rwanda,12952209,494.869,4820,29,1854.211,191.375,4.28,4.617,0.0,69.02,-1.940278,29.873888
Asia,Saudi Arabia,34813867,15.322000000000001,333193,4683,49045.41099999999,259.538,17.72,0.0,2.7,75.13,23.885942,45.079162
Africa,Sudan,43849269,23.258000000000003,13606,836,4466.5070000000005,431.38800000000003,15.67,23.436999999999998,0.8,65.31,12.862807,30.217636
Africa,Senegal,16743930,82.32799999999999,14909,308,2470.58,241.21900000000002,2.42,20.859,0.0,67.94,14.497401000000002,-14.452361999999999
Asia,Singapore,5850343,7915.731,57700,27,85535.383,92.243,10.99,0.0,2.4,83.62,1.352083,103.819836
Africa,Sierra Leone,7976985,104.7,2215,72,1390.3,325.721,2.42,19.275,0.0,54.7,8.460555000000001,-11.779889
North America,El Salvador,6486201,307.811,28630,826,7292.4580000000005,167.295,8.87,90.65,1.3,73.32,13.794185,-88.89653
Europe,San Marino,33938,556.6669999999999,746,42,56861.47,0.0,5.64,0.0,3.8,84.97,43.94236,12.457777
Africa,Somalia,15893219,23.5,3588,99,0.0,365.769,6.05,9.831,0.9,57.4,5.152149,46.199616
Europe,Serbia,6804596,80.291,33384,747,14048.881000000001,439.415,10.08,97.719,5.609,76.0,44.016521000000004,21.005859
South America,Suriname,586634,3.612,4835,102,13767.118999999999,258.314,12.54,67.779,3.1,71.68,3.9193050000000005,-56.02778299999999
Europe,Slovakia,5459643,113.12799999999999,9078,44,30155.152000000002,287.959,7.29,0.0,5.82,77.54,48.669026,19.699023999999998
Europe,Slovenia,2078932,102.619,5350,136,31400.84,153.493,7.25,0.0,4.5,81.32,46.151241,14.995463
Africa,Swaziland,1160164,79.492,5431,108,7738.975,333.436,3.94,24.096999999999998,2.1,60.19,-26.522503000000004,31.465866
